"id_cliente_servico";"dia_vencimento";"valor";"plano";"meses_contrato";"qtd_atendimento";"qtd_ordemservico";"cidade";"contrato"
169041;dia 4;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;6;2;Águas Lindas de Goiás;cancelado
169045;dia 7;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;9.0;2;1;Brasília;cancelado
169052;dia 7;109.9;Ti5-Combo-100-MEGA_DESC10;9.0;4;2;Águas Lindas de Goiás;cancelado
169053;dia 10;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;6;1;Valparaíso de Goiás;cancelado
169059;dia 5;119.9;(Migrado - OBTI) 350MEGA - FTTH - SANTA MARIA;9.0;4;1;Brasília;cancelado
169060;dia 7;119.9;(Migrado - OBTI) 350MEGA - FTTH - SANTA MARIA;9.0;9;3;Brasília;cancelado
169062;dia 7;139.9;Ti7-FIBRA-300-MEGA;9.0;6;4;Águas Lindas de Goiás;cancelado
169067;dia 5;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;6;2;Valparaíso de Goiás;cancelado
169075;dia 4;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;4;2;Luziânia;cancelado
169076;dia 14;29.9;Telefonia - Lig Facil Residêncial;9.0;9;2;Águas Lindas de Goiás;cancelado
169079;dia 14;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;11;2;Águas Lindas de Goiás;cancelado
169082;dia 5;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;9;3;Águas Lindas de Goiás;cancelado
169087;dia 7;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;9.0;9;2;Novo Gama;cancelado
169088;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;4;1;Águas Lindas de Goiás;cancelado
169091;dia 6;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;9.0;12;2;Valparaíso de Goiás;cancelado
169097;dia 4;169.9;Ti5-Combo-VIP-400-MEGA_DESC20;9.0;3;2;Águas Lindas de Goiás;cancelado
169098;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;25;4;Águas Lindas de Goiás;cancelado
169103;dia 4;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;32;2;Brasília;cancelado
169107;dia 5;139.9;(Migrado - SKILL.NET) 350MEGA_BRAZ_DESC20;9.0;5;2;Brasília;cancelado
169117;dia 4;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;9;5;Águas Lindas de Goiás;cancelado
