"cod_servico";"dia_vencimento";"valor";"plano";"meses_contrato";"equipamento";"qtd_atendimento";"qtd_ordemservico";"cod_cidade";"contrato"
365833;4;109.9;3566;3.0;"";5;2;1058;11
365838;6;109.9;3566;3.0;"";2;1;1074;11
365844;5;144.9;3565;3.0;"{""interface"":""gpon-onu_1\/2\/15:87"",""onu_type"":""F670LV1.1.01\r"",""state"":""working"",""distance"":""4746m"",""ont_rx_power"":-30,""rx_signal"":-25.688}";15;4;890;11
365845;11;144.9;3565;3.0;"";22;2;890;9
365846;4;109.9;3566;3.0;"";18;2;890;11
365847;4;144.9;3565;3.0;"";2;1;890;11
365857;11;109.9;3566;3.0;"";7;1;953;11
365859;6;179.9;3582;3.0;"";17;1;805;14
365860;9;99.9;3570;3.0;"";4;1;890;11
365861;4;109.9;3566;3.0;"{""temperature"":""42.55"",""voltage"":""3.22"",""rx_signal"":""-20.86"",""tx_signal"":""-26.38"",""model"":""5506-01-A1""}";7;1;1047;11
365863;11;109.9;3566;3.0;"{""onu_type"":""5506-01-A1""}";1;1;1009;11
365864;11;109.9;3566;3.0;"";8;2;890;11
365868;4;144.9;3580;8.0;"{""onu_type"":""AN5506-01-A1""}";2;0;805;11
365870;5;144.9;3565;3.0;"{""interface"":""gpon-onu_1\/4\/2:67"",""onu_type"":""F670LV1.1.01\r"",""state"":""DyingGasp"",""distance"":""1950m"",""ont_rx_power"":0,""rx_signal"":0}";11;1;890;14
365871;4;144.9;3565;3.0;"";15;1;890;14
365873;7;144.9;3565;3.0;"";14;2;890;11
365875;4;144.9;3580;3.0;"{""onu_type"":""5506-01-A1""}";23;1;805;11
365900;5;109.9;3566;3.0;"";6;1;890;11
365902;7;209.9;3570;3.0;"";18;3;947;14
365904;9;109.9;3566;3.0;"";18;1;1005;95
365908;7;109.9;3583;3.0;"";2;1;805;11
365910;7;109.9;3566;3.0;"{""onu_type"":""unKnown""}";13;2;1047;9
365913;9;144.9;3565;3.0;"";5;2;915;11
365914;4;109.9;3566;3.0;"";3;1;5645;11
365920;85;109.9;3566;3.0;"[]";10;1;947;11
365921;10;109.9;3566;3.0;"";2;1;5645;11
365939;7;109.9;3566;3.0;"";3;2;1122;11
365944;84;144.9;3565;3.0;"{""onu_type"":""unKnown""}";22;2;1047;9
365945;6;109.9;4077;3.0;"";3;2;2293;11
365950;7;109.9;3583;3.0;"";22;2;805;9
365957;90;109.9;3566;3.0;"{""onu_type"":""unKnown""}";2;1;1047;11
365964;7;109.9;3566;3.0;"";2;1;1122;14
365967;6;144.9;3565;3.0;"";26;1;890;95
365969;10;144.9;3565;5.0;"";10;0;1074;14
365970;85;99.99;2097;8.0;"";11;1;1105;11
